,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
2313,CALLE                   ,DE LAS,AMAPOLAS                                        ,40900,7.0,CALLE DE LAS AMAPOLAS                                          
2314,CALLE                   ,DE    ,AMARA                                           ,41000,15.0,CALLE DE AMARA                                                 
2315,CALLE                   ,DE LA ,AMARGURA                                        ,41200,10.0,CALLE DE LA AMARGURA                                           
2316,CALLE                   ,DE    ,AMAYA                                           ,41400,12.0,CALLE DE AMAYA                                                 
2317,CALLE                   ,DE LAS,AMAZONAS                                        ,41500,1.0,CALLE DE LAS AMAZONAS                                          
2318,CALLE                   ,DEL   ,AMBAR                                           ,41600,17.0,CALLE DEL ÁMBAR                                                
2319,CALLE                   ,DE    ,AMBROS                                          ,41700,4.0,CALLE DE AMBROS                                                
2320,CALLE                   ,      ,AZUL                                            ,41800,8.0,CALLE AZUL                                                     
2321,CALLE                   ,DE    ,AMBROSIO VALLEJO                                ,41900,6.0,CALLE DE AMBROSIO VALLEJO                                      
2322,CALLE                   ,DE    ,AMBROZ                                          ,42000,19.0,CALLE DE AMBROZ                                                
2323,CAMINO                  ,DE    ,AMBROZ A COSLADA                                ,42010,20.0,CAMINO DE AMBROZ A COSLADA                                     
2324,CAMINO                  ,DE    ,AMBROZ                                          ,42050,20.0,CAMINO DE AMBROZ                                               
2325,TRAVESIA                ,DE    ,AMBROZ                                          ,42100,19.0,TRAVESÍA DE AMBROZ                                             
2326,CALLE                   ,DE    ,AMALIA MARCOS                                   ,42200,18.0,CALLE DE AMALIA MARCOS                                         
2327,TRAVESIA                ,DE    ,AMALIA MARCOS                                   ,42300,18.0,TRAVESÍA DE AMALIA MARCOS                                      
2328,CALLE                   ,DE    ,MANUEL MUIÑO ARROYO                             ,42400,10.0,CALLE DE MANUEL MUIÑO ARROYO                                   
2329,AVENIDA                 ,DE    ,AMERICA                                         ,42500,15.0,AVENIDA DE AMÉRICA                                             
2330,PLAZA                   ,DE    ,AMERICA ESPAÑOLA                                ,42600,4.0,PLAZA DE AMÉRICA ESPAÑOLA                                      
2331,CALLE                   ,DE LA ,AMISTAD                                         ,42750,11.0,CALLE DE LA AMISTAD                                            
2332,CALLE                   ,DE LA ,AMNISTIA                                        ,42800,1.0,CALLE DE LA AMNISTÍA                                           
2333,CALLE                   ,DEL   ,AMOR DE DIOS                                    ,42900,1.0,CALLE DEL AMOR DE DIOS                                         
2334,CALLE                   ,DEL   ,AMOR HERMOSO                                    ,43000,12.0,CALLE DEL AMOR HERMOSO                                         
2335,CALLE                   ,DE    ,AMOREBIETA                                      ,43100,9.0,CALLE DE AMOREBIETA                                            
2336,CALLE                   ,DE    ,AMOROS                                          ,43200,4.0,CALLE DE AMORÓS                                                
